clinic_name,description,medical_unit_type,clinic_schedule,primary_phone,secondary_phone,primary_email,website,address,clinic_street,clinic_number,clinic_city,clinic_county,clinic_other_details,facilities,clinic_specialities
3D Dental Piata Alba Iulia - Bucuresti,"Clinica 3D Dental este o clinica aparte prin devotamentul si profesionalitatea medicilor, fiind calauziti in munca lor de ""arta"" din domeniul stomatologiei si cosmeticii dentare. Scopul nostru este sa-ti redam sanatatea dentara conform celor mai inalte standarde , ajutati de echipamente de ultima generatie, toate acestea intr-un mediu relaxant si prietenos. Un zambet frumos si sanatos este cartea ta de vizita in societate. La noi vei gasi combinatia optima intre ultimele noutati in tratamentul stomatologic si tratamentul relaxant si nedureros in conditii de igiena maxima. La 3D Dental iti oferim intrega gama de servicii stomatologice, de la o banala consultatie la implant, sub acelasi acoperis. La noi consultatiile se fac temeinic astfel incat sa raspundem tuturor nevoilor tale. Personalul nostru este mereu la curent cu ultimele noutati in domeniul stomatologiei moderne, iar tratamentele se realizeaza prin intermediul celor mai noi echipamente si a celor mai bune materiale din domeniu. Astfel vei fi sigur ca primesti tot ce este mai bun in domeniul stomatologic.",Cabinet/Clinica Stomatologica,"{""L"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""S"": [{""startTime"": ""09:00"", ""endTime"": ""14:00""}], ""D"": []}","{""label"": ""phone"", ""value"": ""021 - 321 60 25""}","[{""label"": ""phone"", ""value"": ""0728 628 600""}, {""label"": ""fax"", ""value"": ""021 - 321 60 24""}]",office@3d-dental.ro,www.3ddental.ro,Piata Alba Iulia,Piata Alba Iulia,7,Bucuresti,Bucuresti,bl. I6 ,,"[""Chirurgie Dento - Alveolara"", ""Chirurgie Orala si Maxilo - Faciala"", ""Stomatologie""]"
3D Dental Tineretului - Bucuresti,,Cabinet/Clinica Stomatologica,,"{""label"": ""phone"", ""value"": ""021 - 331 50 67""}","[{""label"": ""phone"", ""value"": ""0721 000 023""}, {""label"": ""fax"", ""value"": ""021 - 331 50 67""}]",office@3d-dental.ro,http://www.3d-dental.ro,B-dul Tineretului,B-dul Tineretului,47,Bucuresti,Bucuresti,B-dul Tineretului nr. 47,,"[""Chirurgie Dento - Alveolara"", ""Chirurgie Orala si Maxilo - Faciala"", ""Stomatologie""]"
Abc Eurodent 1 Decembrie 1918,MIJLOACE DE TRANSPORT,Cabinet/Clinica Stomatologica,,,,office@abceurodent.ro,https://www.abceurodent.ro,Strada Colonel Iosif Albu,Colonel Iosif Albu,58,Bucuresti,Bucuresti,Sector 3,,"[""Stomatologie"", ""Stomatologie""]"
Abc Eurodent Decebal,"Aici va veti simti relaxat intr-un mediu placut, inconjurat de o echipa tanara, ambitioasa si perfectionista. Spunem o echipa pentru ca ne consideram ca un tot unitar, ne sprijinim si ne consultam reciproc, lucram in egala masura pentru binele si confortul dumneavoastra. Perseveram in efectuarea cu corectitudine si profesionalism a tuturor tratamentelor, in alegerea aparaturii de ultima generatie, a celor mai bune materiale, a celor mai competenti tehnicieni si in finalizarea unor lucrari de cea mai buna calitate, conform dorintelor dumneavoastra si exigentelor noastre. Medicii nostri va stau la dispozitie atat pentru tratamentele uzuale ( consultatie, igienizari, profilaxie, terapie, protetica, estetica, pedodontie, chirurgie, parodontologie) cat si pentru tratamentele de amploare de chirurgie, implantologie, ortodontie, la efectuarea carora colaboram cu medici specialisti de incredere. In clinica noastra se efectueaza manopere complexe de genul chistectomiilor, descoperirilor chirurgicale in scop ortodontic, rezectiilor apicale, odontectomiilor, aditiilor osoase, sinus liftingului. In cazul anumitor interventii chirurgicale complexe putem recurge la anestezie generala asistata in cadrul cabinetului nostru, prin colaborarea cu un medic anestezist. Asa cum am spus, ABCeurodent este si o clinica de stomatologie pentru copii de toate varstele. Medicii nostri sunt intotdeauna la dispozitia lor, cu blandete, atentie si multa rabdare . Copiilor nu li se trateaza doar afectiunile dentare existente, ci li se explica tehnici de periaj, li se corecteaza obiceiurile alimentare, obiceiurile vicioase, li se efectueaza manopere profilactice si sunt indrumati la controale periodice pe toata durata dentitiei temporare pana la inlocuirea acesteia cu cea permanenta. Avem convingerea ca micii pacienti vor ramane si pe viitor pacienti ai clinicii noastre si vor reveni cu drag. Indiferent ce problema aveti, de ordin stomatologic si nu numai, va vom ajuta si va vom indruma deoarece ne face placere. Chiar si dupa finalizarea tratamentelor stomatologice va asteptam sa ne vizitati, caci veti deveni parte integranta a ABCeurodent. Tot in sprijinul dumneavoastra am dezvoltat, inafara programului de lucru, un sistem de urgente non-stop. La acest numar va va raspunde unul din medicii nostri si se va deplasa la sediul clinicii oricand special pentru dumneavoastra. Finalizarea cu succes a oricarui tratament stomatologic este tinta noastra iar satisfactia dumneavoastra este cea mai mare multumire. Si pentru ca tot ceea ce facem este cu placere si pasiune putem spune cu sinceritate ALB CONFIDENT!",Cabinet/Clinica Stomatologica,"{""L"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""S"": [{""startTime"": ""09:00"", ""endTime"": ""14:00""}], ""D"": []}",,,office@abceurodent.ro,http://abceurodent.ro,B-dul Decebal,,17,Bucuresti,Bucuresti,bl. S16 sc. C ap. 46 sector 3,,"[""Chirurgie Dento - Alveolara"", ""Stomatologie""]"
Abc Eurodent Drumul Taberei,"Aici va veti simti relaxat intr-un mediu placut, inconjurat de o echipa tanara, ambitioasa si perfectionista. Spunem o echipa pentru ca ne consideram ca un tot unitar, ne sprijinim si ne consultam reciproc, lucram in egala masura pentru binele si confortul dumneavoastra. Perseveram in efectuarea cu corectitudine si profesionalism a tuturor tratamentelor, in alegerea aparaturii de ultima generatie, a celor mai bune materiale, a celor mai competenti tehnicieni si in finalizarea unor lucrari de cea mai buna calitate, conform dorintelor dumneavoastra si exigentelor noastre. Medicii nostri va stau la dispozitie atat pentru tratamentele uzuale ( consultatie, igienizari, profilaxie, terapie, protetica, estetica, pedodontie, chirurgie, parodontologie) cat si pentru tratamentele de amploare de chirurgie, implantologie, ortodontie, la efectuarea carora colaboram cu medici specialisti de incredere. In clinica noastra se efectueaza manopere complexe de genul chistectomiilor, descoperirilor chirurgicale in scop ortodontic, rezectiilor apicale, odontectomiilor, aditiilor osoase, sinus liftingului. In cazul anumitor interventii chirurgicale complexe putem recurge la anestezie generala asistata in cadrul cabinetului nostru, prin colaborarea cu un medic anestezist. Asa cum am spus, ABCeurodent este si o clinica de stomatologie pentru copii de toate varstele. Medicii nostri sunt intotdeauna la dispozitia lor, cu blandete, atentie si multa rabdare . Copiilor nu li se trateaza doar afectiunile dentare existente, ci li se explica tehnici de periaj, li se corecteaza obiceiurile alimentare, obiceiurile vicioase, li se efectueaza manopere profilactice si sunt indrumati la controale periodice pe toata durata dentitiei temporare pana la inlocuirea acesteia cu cea permanenta. Avem convingerea ca micii pacienti vor ramane si pe viitor pacienti ai clinicii noastre si vor reveni cu drag. Indiferent ce problema aveti, de ordin stomatologic si nu numai, va vom ajuta si va vom indruma deoarece ne face placere. Chiar si dupa finalizarea tratamentelor stomatologice va asteptam sa ne vizitati, caci veti deveni parte integranta a ABCeurodent. Tot in sprijinul dumneavoastra am dezvoltat, inafara programului de lucru, un sistem de urgente non-stop. La acest numar va va raspunde unul din medicii nostri si se va deplasa la sediul clinicii oricand special pentru dumneavoastra. Finalizarea cu succes a oricarui tratament stomatologic este tinta noastra iar satisfactia dumneavoastra este cea mai mare multumire. Si pentru ca tot ceea ce facem este cu placere si pasiune putem spune cu sinceritate ALB CONFIDENT!",Cabinet/Clinica Stomatologica,"{""L"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""S"": [{""startTime"": ""09:00"", ""endTime"": ""14:00""}], ""D"": []}",,,office@abceurodent.ro,http://abceurodent.ro,B-dul 1 Mai,,35,Bucuresti,Bucuresti,bl. C13 sc. B ap. 54 sector 6,,"[""Chirurgie Dento - Alveolara"", ""Stomatologie""]"
Abc Eurodent Ghencea,"Aici va veti simti relaxat intr-un mediu placut, inconjurat de o echipa tanara, ambitioasa si perfectionista. Spunem o echipa pentru ca ne consideram ca un tot unitar, ne sprijinim si ne consultam reciproc, lucram in egala masura pentru binele si confortul dumneavoastra. Perseveram in efectuarea cu corectitudine si profesionalism a tuturor tratamentelor, in alegerea aparaturii de ultima generatie, a celor mai bune materiale, a celor mai competenti tehnicieni si in finalizarea unor lucrari de cea mai buna calitate, conform dorintelor dumneavoastra si exigentelor noastre. Medicii nostri va stau la dispozitie atat pentru tratamentele uzuale ( consultatie, igienizari, profilaxie, terapie, protetica, estetica, pedodontie, chirurgie, parodontologie) cat si pentru tratamentele de amploare de chirurgie, implantologie, ortodontie, la efectuarea carora colaboram cu medici specialisti de incredere. In clinica noastra se efectueaza manopere complexe de genul chistectomiilor, descoperirilor chirurgicale in scop ortodontic, rezectiilor apicale, odontectomiilor, aditiilor osoase, sinus liftingului. In cazul anumitor interventii chirurgicale complexe putem recurge la anestezie generala asistata in cadrul cabinetului nostru, prin colaborarea cu un medic anestezist. Asa cum am spus, ABCeurodent este si o clinica de stomatologie pentru copii de toate varstele. Medicii nostri sunt intotdeauna la dispozitia lor, cu blandete, atentie si multa rabdare . Copiilor nu li se trateaza doar afectiunile dentare existente, ci li se explica tehnici de periaj, li se corecteaza obiceiurile alimentare, obiceiurile vicioase, li se efectueaza manopere profilactice si sunt indrumati la controale periodice pe toata durata dentitiei temporare pana la inlocuirea acesteia cu cea permanenta. Avem convingerea ca micii pacienti vor ramane si pe viitor pacienti ai clinicii noastre si vor reveni cu drag. Indiferent ce problema aveti, de ordin stomatologic si nu numai, va vom ajuta si va vom indruma deoarece ne face placere. Chiar si dupa finalizarea tratamentelor stomatologice va asteptam sa ne vizitati, caci veti deveni parte integranta a ABCeurodent. Tot in sprijinul dumneavoastra am dezvoltat, inafara programului de lucru, un sistem de urgente non-stop. La acest numar va va raspunde unul din medicii nostri si se va deplasa la sediul clinicii oricand special pentru dumneavoastra. Finalizarea cu succes a oricarui tratament stomatologic este tinta noastra iar satisfactia dumneavoastra este cea mai mare multumire. Si pentru ca tot ceea ce facem este cu placere si pasiune putem spune cu sinceritate ALB CONFIDENT!",Cabinet/Clinica Stomatologica,"{""L"": [{""startTime"": ""09:00"", ""endTime"": ""17:00""}], ""Ma"": [{""startTime"": ""09:00"", ""endTime"": ""17:00""}], ""Mi"": [{""startTime"": ""09:00"", ""endTime"": ""17:00""}], ""J"": [{""startTime"": ""09:00"", ""endTime"": ""17:00""}], ""V"": [{""startTime"": ""09:00"", ""endTime"": ""17:00""}], ""S"": [{""startTime"": ""09:00"", ""endTime"": ""14:00""}], ""D"": []}",,,office@abceurodent.ro,http://www.abceurodent.ro,B-dul Ghencea nr. 43B sector 6 Bucuresti,,43B,Bucuresti,Bucuresti,Sector 6,,"[""Stomatologie""]"
Abc Eurodent Ghencea,,Cabinet/Clinica Stomatologica,,,,office@abceurodent.ro,https://www.abceurodent.ro,Bulevardul Ghencea,,,Bucuresti,Bucuresti,,,"[""Ortodontie si Ortopedie Dento - Faciala"", ""Stomatologie"", ""Stomatologie""]"
Academia de FIV,"Visul de a fi parinte este transformat in realitate de echipa Academiei de FIV, alcatuita de cei mai buni specialisti in domeniul reproducerii umane asistate. Ne mandrim ca alaturi de pacientii nostri, in fiecare zi se regasesc medici de exceptie dar in acelasi timp oameni minunati care pun suflet, pasiune si daruire in tot ceea ce fac. Din dragoste, cu dragoste si cu mult respect fata de cuplurile care ne trec pragul si care ne impartasesc problemele cu care se confrunta, am ales echipa perfecta pentru a reprezenta Academia de FIV.",Clinica Medicala,,,,fertilizare@academiadefiv.ro,http://www.academiadefiv.ro,Str. Tepes Voda,,51,Bucuresti,Bucuresti,Sector 2,,"[""Medicina de Laborator (Analize medicale)"", ""Obstetrica - Ginecologie""]"
Academica Aviatorilor,"Centrul Medical Academica ofera servicii medicale integrate clinice si paraclinice, respectiv consultatii in ambulatoriu pentru toate specialitatile clinice, interventii chirurgicale, analize de laborator si investigatii de imagistica medicala. Misiunea noastra este sa intampinam fiecare pacient cu grija, sa ne asiguram ca este investigat si diagnosticat corect, ca este tratat complet, la timp, cu profesionalism si cu respect. Pe scurt, dorim sa oferim servicii medicale de calitate. Avem credinta ca medicina fara ajutorul tehnicii nu mai poate fi imaginata, dar ca, fara omenie si respect pentru valorile morale, aceasta ramane doar o simpla meserie.",Clinica Medicala,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""21:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""21:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""21:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""21:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""21:00""}], ""S"": [{""startTime"": ""09:00"", ""endTime"": ""15:00""}], ""D"": []}",,,callcenter@academica-medical.ro,http://www.academica-medical.ro,B-dul Aviatorilor ,,67,Bucuresti,Bucuresti,Sector 1,,"[""Anestezie si Terapie Intensiva"", ""Cardiologie"", ""Chirurgie Generala"", ""Chirurgie Plastica, Estetica si Microchirurgie Reconstructiva"", ""Dermatovenerologie"", ""Endocrinologie"", ""Gastroenterologie"", ""Medicina de Familie"", ""Medicina Generala"", ""Medicina Interna"", ""Medicina Muncii"", ""Neurochirurgie"", ""Obstetrica - Ginecologie"", ""Oftalmologie"", ""Ortopedie si Traumatologie"", ""Otorinolaringologie (ORL)"", ""Pediatrie"", ""Psihiatrie"", ""Psihologie"", ""Reumatologie"", ""Stomatologie"", ""Urologie""]"
Adadent,Adadent: Medici bine pregatiti si pasionati de oameni,Cabinet/Clinica Stomatologica,"{""L"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""S"": [], ""D"": []}",,,,http://www.adadent.ro,,,,,,,,"[""Chirurgie Orala si Maxilo - Faciala"", ""Stomatologie""]"
