clinic_name,address,clinic_street,clinic_number,clinic_city,clinic_county,clinic_other_details,something
3D Dental Piata Alba Iulia - Bucuresti,Piata Alba Iulia ,Piata Alba Iulia,7,Bucuresti,Bucuresti,bl. I6 ,Original
3D Dental Tineretului - Bucuresti,B-dul Tineretului ,B-dul Tineretului,47,Bucuresti,Bucuresti,B-dul Tineretului nr. 47,Original
Abc Eurodent 1 Decembrie 1918,Strada Colonel Iosif Albu ,Colonel Iosif Albu,58,Bucuresti,Bucuresti,Sector 3,Original
Abc Eurodent Decebal,B-dul Decebal  ,B-dul Decebal  ,17,Bucuresti,Bucuresti,bl. S16 sc. C ap. 46 sector 3,Original
Abc Eurodent Drumul Taberei,B-dul 1 Mai ,B-dul 1 Mai ,35,Bucuresti,Bucuresti,bl. C13 sc. B ap. 54 sector 6,Original
Abc Eurodent Ghencea,Bulevardul Ghencea ,Bulevardul Ghencea ,,Bucuresti,Bucuresti,,Original
Abc Eurodent Ghencea,B-dul Ghencea Nr. 43B sector 6 Bucuresti,Bulevardul Ghencea ,43B,Bucuresti,Bucuresti,Sector 6,Original
Academia de FIV,Str. Tepes Voda  ,Str. Tepes Voda  ,51,Bucuresti,Bucuresti,Sector 2,Original
Academica Aviatorilor,B-dul Aviatorilor  ,B-dul Aviatorilor  ,67,Bucuresti,Bucuresti,Sector 1,Original
Advanced Medical Consulting,Sos. Kiseleff ,Sos. Kiseleff ,55,Bucuresti,Bucuresti,Vila 4,Original
Affidea Arad,Str Cornel Radu  ,Str Cornel Radu  ,1,Arad,Arad,,Original
Affidea Cluj,Str Ciresilor  ,Str Ciresilor  ,15,Cluj-Napoca,Cluj-Napoca,,Original
Affidea Constanta,Bd Tomis ,Bd Tomis ,141A,Constanta,Constanta,,Original
Affidea Deva,B-dul 22 Decembrie ,B-dul 22 Decembrie ,58,Deva,Hunedoara,,Original
Affidea Floreasca,Str Hatmanul Arbore ,Str Hatmanul Arbore ,15-19,Bucuresti,Bucuresti,,Original
Affidea Focsani,Soseaua Vrancei ,Soseaua Vrancei ,10B,Focsani,Vrancea,,Original
Affidea Fundeni,Sos Fundeni ,Sos Fundeni ,258,Bucuresti,Bucuresti,,Original
Affidea Iasi,Str Lascar Catargi ,Str Lascar Catargi ,37,Iasi,Iasi,demisolIasi,Original
Affidea Petrosani,Bdul 1 Decembrie 1918 ,Bdul 1 Decembrie 1918 ,137A,Petrosani,Hunedoara,,Original
Affidea Piatra Neamt,B-dul Traian ,B-dul Traian ,44986,Neamt,Piatra-Neamt,,Original
Affidea Timisoara,Bd Eroilor de la Tisa ,Bd Eroilor de la Tisa ,42,Timisoara,Timis,,Original
AIS Clinics ### Hospital,Sos. Alexandriei  ,Sos. Alexandriei  ,144,Bucuresti,Bucuresti,,Original
Albion Medical,Str. Dimitrie Onciul ,Str. Dimitrie Onciul ,14,Bucuresti,Bucuresti,,Original
Alco San,Str. Barbu Vacarescu  ,Str. Barbu Vacarescu  ,67,Bucuresti,Bucuresti,,Original
Alfa Medical Bailesti,Str. Bailesti  ,Str. Bailesti  ,8,Bucuresti,Bucuresti,,Original
Alfa Medical Izvorul Rece,Str. Izvorul Rece ,Str. Izvorul Rece ,12A,Bucuresti,Bucuresti,,Original
Alfa Medical Oltenitei,Sos. Oltenitei Nr. 220 ,Sos. Oltenitei Nr. 220 ,220,Bucuresti,Bucuresti,bl. 8 sc. 2 ap. 58,Original
Alfa Medical Secuilor,Str. Secuilor ,Str. Secuilor ,2,Bucuresti,Bucuresti,,Original
Alfa Medical Secuilor-Petrolului,Str.Petrolului ,Str.Petrolului ,2,Bucuresti,Bucuresti,,Original
Alfa Medical Tulnici,Str. Tulnici  ,Str. Tulnici  ,6,Bucuresti,Bucuresti,bl. 45 sc. 1 ap. 3,Original
Alma Clinic Suceava,"Str. Vasile Alecsandri, Nr.8, Bl.3A, ParterSuceava, Suceava",Vasile Alecsandri,8,Suceava,Suceava,"Nr.8, Bl.3A, parter",Original
Adadent,,,,,,,Mihai
Aeromed Clinic,,,,,,,Mihai
Afiifea Mangalia,"Str Rozelor Nr. 2Constanta, Mangalia",Str Rozelor,Nr. 2,Mangalia,Constanta,,Mihai
Agora Medical,,,,,,,Mihai
Alma Clinic Falticeni,"Str. Ana Ipatescu Nr. 9ASuceava, Falticeni",Str. Ana Ipatescu,Nr. 9A,Falticeni,Suceava,,Mihai
Alpha Clinics Lugoj,"Str. Bucegi Nr. 11Timis, Lugoj",Str. Bucegi,Nr. 11,Lugoj,Timis,,Mihai
Alpha Clinics Timisoara,"Str. Francesco Griselini Nr. 1 ap. 2Timis, Timisoara",Str. Francesco Griselini,Nr. 1,Timisoara,Timis,ap. 2,Mihai
Alpha Med San,,,,,,,Mihai
